PRODUCT_ID,DEPARTMENT_NAME,HEIGHT_INCHES,WIDTH_INCHES,DEPTH_INCHES,WEIGHT_GRAMS
71032,Pantry,5.33,2.17,,4.20E+02
71037,Pantry,10.1,3.06,2.8,7.39E+02
71047,Pantry,9.39,3,,7.35E+02
71055,Pantry,9.2,2.74,,7.57E+02
71062,Pantry,9.66,2.94,,8.66E+02
71065,Pantry,9.6,3.5,3.5,9.07E+02
71075,Pantry,,,,6.51E+02
71079,Pantry,9.9,4.75,4.75,1.81E+03
71103,Pantry,8.33,2.88,,5.49E+02
71132,Pantry,9.67,8.9,6.26,2.86E+03
71140,Pantry,6,3,2.3,4.59E+02
71173,Pantry,4.88,3.01,3.01,5.01E+02
71178,Pantry,4.8,3.3,3.3,4.90E+02
71187,Pantry,7.1,4,2.5,3.79E+02
71192,Pantry,7.08,3.56,,5.35E+02
71240,Pantry,5.06,1.68,,2.40E+02
71274,Pantry,4,2.89,,4.81E+02
71275,Pantry,4.15,2.89,,5.03E+02
71276,Pantry,5.16,3.25,1.09,7.94E+01
71278,Pantry,5.1,3,0.23,1.81E+01
71281,Pantry,7.79,2.46,,5.90E+02
71283,Pantry,8.09,4.09,,5.40E+02
71284,Pantry,,,,6.30E+02
71289,Pantry,8.56,3.5,2,5.12E+02
71291,Pantry,5.3,2.9,2.9,6.12E+02
71292,Pantry,8.5,3.5,2,5.08E+02
71293,Pantry,8.1,4.06,,5.53E+02
71294,Pantry,5.33,3,3,6.12E+02
71295,Pantry,5.53,1.31,4,1.59E+02
71296,Pantry,6.05,2.85,,5.35E+02
71299,Pantry,5.5,0.29,3.92,3.18E+01
71312,Pantry,5.79,2.83,,3.76E+02
71321,Pantry,8.12,4.07,,5.38E+02
71339,Pantry,8.56,3.5,2,5.89E+02
71342,Pantry,8.56,3.5,2,5.31E+02
71344,Pantry,8.5,3.5,2,5.08E+02
71345,Pantry,8.11,4.1,,5.44E+02
71347,Pantry,,,,6.12E+02
71351,Pantry,9.11,4.75,4.77,1.17E+03
71367,Pantry,8.11,4.06,,5.44E+02
71372,Pantry,8.69,4.05,4.07,5.03E+02
71375,Pantry,8.56,3.26,2,5.49E+02
71383,Pantry,9.4,3.8,2.5,7.85E+02
71392,Pantry,8.56,3.5,2,5.20E+02
71394,Pantry,8.69,4.06,4.07,5.17E+02
71413,Deli,2.86,4.62,4.62,4.58E+02
71416,Pantry,7.43,3.5,1.52,2.27E+02
71420,Pantry,8.08,4.07,,5.78E+02
71425,Pantry,,,,6.42E+02
71428,Pantry,,,,6.12E+02
71429,Pantry,7.84,2.44,2.44,6.35E+02
71433,Pantry,,,,6.49E+02
71436,Pantry,8.1,4.07,,5.42E+02
71444,Pantry,8.5,3.5,2,5.35E+02
71445,Pantry,8.15,4.1,,5.33E+02
71451,Pantry,8.56,3.5,2,5.15E+02
71455,Pantry,7.51,3.38,,5.06E+02
71456,Pantry,8.19,2.87,,4.24E+02
71469,Pantry,,,,6.10E+02
71472,Pantry,7.88,2.71,2.71,5.85E+02
71481,Pantry,8.69,4.06,4.07,6.44E+02
71482,Pantry,8.69,3.68,4.07,6.30E+02
71508,International,6.19,4.49,,2.36E+02
71510,Pantry,,,,5.44E+02
